Starting Time: 01-16-2015 12:22:18
Duplication criterion: displacement cutoff:     1.3
Kept 1 SGS phenyl
Kept 2 SGS phenyl
Removed 3 SGS phenyl
Kept 4 SGS phenyl
Kept 5 SGS phenyl
Kept 6 SGS phenyl
Kept 7 SGS phenyl
Removed 8 SGS phenyl
Removed 9 SGS phenyl
Removed 10 SGS phenyl
Kept 11 SGS phenyl
Kept 12 SGS phenyl
Kept 13 SGS phenyl
Removed 14 SGS phenyl
Removed 15 SGS phenyl
Kept 16 SGS phenyl
Kept 17 SGS phenyl
Removed 18 SGS phenyl
Kept 19 SGS phenyl
Kept 20 SGS phenyl
Removed 21 SGS phenyl
Removed 22 SGS phenyl
Kept 23 SGS phenyl
Removed 24 SGS phenyl
Removed 25 SGS phenyl
Kept 26 SGS phenyl
Kept 27 SGS phenyl
Kept 28 SGS phenyl
Removed 29 SGS phenyl
Kept 30 SGS phenyl
Kept 31 SGS phenyl
Kept 32 SGS phenyl
Kept 33 SGS phenyl
Kept 34 SGS phenyl
Kept 35 SGS phenyl
Kept 36 SGS phenyl
Kept 37 SGS phenyl
Kept 38 SGS phenyl
Kept 39 SGS phenyl
Kept 40 SGS phenyl
Kept 41 SGS phenyl
Kept 42 SGS phenyl
Kept 43 SGS phenyl
Kept 44 SGS phenyl
Kept 45 SGS phenyl
Kept 46 SGS phenyl
Removed 47 SGS phenyl
Kept 48 SGS phenyl
Removed 49 SGS phenyl
Kept 50 SGS phenyl
Kept 51 SGS phenyl
Kept 52 SGS phenyl
Kept 53 SGS phenyl
Kept 54 SGS phenyl
Kept 55 SGS phenyl
Kept 56 SGS phenyl
Removed 57 SGS phenyl
Remaining poses: 42
Stage <SGS phenyl     (    0) UniquePoses1> takes 0 seconds
Duplication criterion: displacement cutoff:     1.3
Kept 1 SGS phenyl
Kept 2 SGS phenyl
Kept 3 SGS phenyl
Kept 4 SGS phenyl
Removed 5 SGS phenyl
Kept 6 SGS phenyl
Kept 7 SGS phenyl
Removed 8 SGS phenyl
Removed 9 SGS phenyl
Removed 10 SGS phenyl
Removed 11 SGS phenyl
Removed 12 SGS phenyl
Removed 13 SGS phenyl
Removed 14 SGS phenyl
Kept 15 SGS phenyl
Removed 16 SGS phenyl
Removed 17 SGS phenyl
Removed 18 SGS phenyl
Removed 19 SGS phenyl
Kept 20 SGS phenyl
Kept 21 SGS phenyl
Removed 22 SGS phenyl
Removed 23 SGS phenyl
Kept 24 SGS phenyl
Kept 25 SGS phenyl
Removed 26 SGS phenyl
Removed 27 SGS phenyl
Kept 28 SGS phenyl
Kept 29 SGS phenyl
Removed 30 SGS phenyl
Kept 31 SGS phenyl
Kept 32 SGS phenyl
Removed 33 SGS phenyl
Removed 34 SGS phenyl
Kept 35 SGS phenyl
Kept 36 SGS phenyl
Removed 37 SGS phenyl
Removed 38 SGS phenyl
Removed 39 SGS phenyl
Removed 40 SGS phenyl
Removed 41 SGS phenyl
Removed 42 SGS phenyl
Removed 43 SGS phenyl
Kept 44 SGS phenyl
Removed 45 SGS phenyl
Kept 46 SGS phenyl
Kept 47 SGS phenyl
Kept 48 SGS phenyl
Kept 49 SGS phenyl
Removed 50 SGS phenyl
Kept 51 SGS phenyl
Kept 52 SGS phenyl
Kept 53 SGS phenyl
Kept 54 SGS phenyl
Kept 55 SGS phenyl
Kept 56 SGS phenyl
Kept 57 SGS phenyl
Kept 58 SGS phenyl
Removed 59 SGS phenyl
Removed 60 SGS phenyl
Kept 61 SGS phenyl
Removed 62 SGS phenyl
Kept 63 SGS phenyl
Removed 64 SGS phenyl
Kept 65 SGS phenyl
Kept 66 SGS phenyl
Kept 67 SGS phenyl
Kept 68 SGS phenyl
Kept 69 SGS phenyl
Kept 70 SGS phenyl
Kept 71 SGS phenyl
Remaining poses: 39
Stage <SGS phenyl     (    1) UniquePoses1> takes 0 seconds

Ending Time: 01-16-2015 12:22:20
