Starting Time: 01-19-2015 10:58:45
Duplication criterion: displacement cutoff:     1.3
Kept 1 SGS phenyl
Kept 2 SGS phenyl
Kept 3 SGS phenyl
Kept 4 SGS phenyl
Removed 5 SGS phenyl
Kept 6 SGS phenyl
Kept 7 SGS phenyl
Kept 8 SGS phenyl
Kept 9 SGS phenyl
Kept 10 SGS phenyl
Kept 11 SGS phenyl
Kept 12 SGS phenyl
Removed 13 SGS phenyl
Removed 14 SGS phenyl
Removed 15 SGS phenyl
Removed 16 SGS phenyl
Removed 17 SGS phenyl
Removed 18 SGS phenyl
Removed 19 SGS phenyl
Kept 20 SGS phenyl
Removed 21 SGS phenyl
Kept 22 SGS phenyl
Removed 23 SGS phenyl
Kept 24 SGS phenyl
Kept 25 SGS phenyl
Kept 26 SGS phenyl
Kept 27 SGS phenyl
Kept 28 SGS phenyl
Kept 29 SGS phenyl
Kept 30 SGS phenyl
Removed 31 SGS phenyl
Removed 32 SGS phenyl
Kept 33 SGS phenyl
Removed 34 SGS phenyl
Kept 35 SGS phenyl
Kept 36 SGS phenyl
Kept 37 SGS phenyl
Kept 38 SGS phenyl
Kept 39 SGS phenyl
Kept 40 SGS phenyl
Kept 41 SGS phenyl
Removed 42 SGS phenyl
Removed 43 SGS phenyl
Removed 44 SGS phenyl
Removed 45 SGS phenyl
Kept 46 SGS phenyl
Removed 47 SGS phenyl
Kept 48 SGS phenyl
Kept 49 SGS phenyl
Kept 50 SGS phenyl
Removed 51 SGS phenyl
Kept 52 SGS phenyl
Kept 53 SGS phenyl
Kept 54 SGS phenyl
Kept 55 SGS phenyl
Kept 56 SGS phenyl
Removed 57 SGS phenyl
Kept 58 SGS phenyl
Kept 59 SGS phenyl
Kept 60 SGS phenyl
Removed 61 SGS phenyl
Kept 62 SGS phenyl
Kept 63 SGS phenyl
Kept 64 SGS phenyl
Kept 65 SGS phenyl
Kept 66 SGS phenyl
Removed 67 SGS phenyl
Kept 68 SGS phenyl
Kept 69 SGS phenyl
Removed 70 SGS phenyl
Kept 71 SGS phenyl
Kept 72 SGS phenyl
Kept 73 SGS phenyl
Kept 74 SGS phenyl
Kept 75 SGS phenyl
Kept 76 SGS phenyl
Kept 77 SGS phenyl
Removed 78 SGS phenyl
Remaining poses: 54
Stage <SGS phenyl     (    0) UniquePoses0> takes 0 seconds
Duplication criterion: displacement cutoff:     1.3
Kept 1 SGS phenyl
Kept 2 SGS phenyl
Kept 3 SGS phenyl
Kept 4 SGS phenyl
Removed 5 SGS phenyl
Kept 6 SGS phenyl
Removed 7 SGS phenyl
Removed 8 SGS phenyl
Removed 9 SGS phenyl
Removed 10 SGS phenyl
Removed 11 SGS phenyl
Kept 12 SGS phenyl
Removed 13 SGS phenyl
Removed 14 SGS phenyl
Removed 15 SGS phenyl
Removed 16 SGS phenyl
Kept 17 SGS phenyl
Kept 18 SGS phenyl
Kept 19 SGS phenyl
Kept 20 SGS phenyl
Removed 21 SGS phenyl
Kept 22 SGS phenyl
Removed 23 SGS phenyl
Kept 24 SGS phenyl
Kept 25 SGS phenyl
Removed 26 SGS phenyl
Kept 27 SGS phenyl
Kept 28 SGS phenyl
Kept 29 SGS phenyl
Kept 30 SGS phenyl
Removed 31 SGS phenyl
Removed 32 SGS phenyl
Kept 33 SGS phenyl
Removed 34 SGS phenyl
Kept 35 SGS phenyl
Kept 36 SGS phenyl
Kept 37 SGS phenyl
Kept 38 SGS phenyl
Kept 39 SGS phenyl
Kept 40 SGS phenyl
Kept 41 SGS phenyl
Kept 42 SGS phenyl
Kept 43 SGS phenyl
Kept 44 SGS phenyl
Kept 45 SGS phenyl
Kept 46 SGS phenyl
Kept 47 SGS phenyl
Kept 48 SGS phenyl
Removed 49 SGS phenyl
Removed 50 SGS phenyl
Kept 51 SGS phenyl
Kept 52 SGS phenyl
Kept 53 SGS phenyl
Kept 54 SGS phenyl
Kept 55 SGS phenyl
Kept 56 SGS phenyl
Kept 57 SGS phenyl
Kept 58 SGS phenyl
Kept 59 SGS phenyl
Kept 60 SGS phenyl
Kept 61 SGS phenyl
Kept 62 SGS phenyl
Kept 63 SGS phenyl
Kept 64 SGS phenyl
Removed 65 SGS phenyl
Kept 66 SGS phenyl
Kept 67 SGS phenyl
Remaining poses: 48
Stage <SGS phenyl     (    1) UniquePoses0> takes 0 seconds

Ending Time: 01-19-2015 10:58:46
