#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
163000,163.0,-575623.335469,300.734594234,1.0043521769,23.3
164000,164.0,-576174.454861,300.465299444,1.00484127967,23.3
165000,165.0,-575835.572612,298.748813443,1.00826358451,23.3
166000,166.0,-576753.393049,300.363588163,1.00868043585,23.3
167000,167.0,-577151.94035,299.22685954,1.00812688817,23.3
168000,168.0,-576393.421455,297.446774817,1.00523667488,23.3
169000,169.0,-576997.196644,298.517620378,1.00453593192,23.3
170000,170.0,-578511.390079,299.925444877,1.00756234096,23.3
171000,171.0,-576558.380342,299.01286802,1.0078450136,23.3
172000,172.0,-575756.134067,300.356795404,0.999749254225,23.3
173000,173.0,-576727.241776,299.522763453,1.00768991582,23.3
174000,174.0,-577914.927273,301.279925783,1.00576991837,23.3
175000,175.0,-576281.697038,300.470464788,1.00249964135,23.3
176000,176.0,-576370.598001,300.411603245,1.00526403639,23.3
177000,177.0,-576852.701316,301.028081282,1.00814830872,23.3
178000,178.0,-577980.240123,301.918589167,1.00646103328,23.3
179000,179.0,-575829.661636,299.140120613,1.00474226156,23.3
180000,180.0,-576392.681279,300.715075811,1.00798948871,23.3
181000,181.000000001,-576566.298219,299.781740988,1.00756122631,23.3
182000,182.000000001,-577185.837579,301.41119795,1.00860936409,23.3
183000,183.000000001,-575634.480274,300.236485734,1.00519936233,23.3
184000,184.000000001,-574507.988412,300.693908706,1.00427800366,23.3
185000,185.000000001,-576704.420687,302.610952813,1.00359473755,23.3
186000,186.000000001,-575736.692943,301.008309707,1.00499930615,23.3
187000,187.000000001,-575229.631319,299.649843085,1.00081607794,23.3
188000,188.000000001,-576480.299571,299.375854197,1.00415025607,23.3
189000,189.000000001,-574893.201112,300.367413405,1.00118840973,23.3
190000,190.000000001,-575857.538668,298.978066088,1.00420076839,23.3
191000,191.000000001,-575706.165067,301.113452299,1.00323783019,23.3
192000,192.000000001,-577241.611215,298.452066638,1.00712457382,23.3
193000,193.000000001,-576273.782625,301.386544501,1.00465567383,23.3
194000,194.000000001,-575351.583687,300.403043885,1.00243103108,23.3
195000,195.000000001,-575946.46947,300.836274823,1.00145499303,23.3
196000,196.000000001,-576571.802059,299.288257452,1.004771139,23.3
197000,197.000000001,-575738.667181,301.090481315,1.00246958506,23.3
198000,198.000000001,-576643.200834,301.355710537,1.00457163342,23.3
199000,199.000000001,-575944.079465,300.736357796,1.00491795999,23.3
200000,200.000000001,-575955.602115,299.903593587,1.0039954895,23.3
201000,201.000000001,-576728.742626,301.813288404,1.00855320061,23.3
202000,202.000000001,-574702.857471,300.757005782,1.00710390596,23.3
203000,203.000000001,-576047.410832,300.629707967,1.00614757885,23.3
204000,204.000000001,-575806.470023,301.471172553,1.00051187641,23.3
205000,205.000000001,-575959.381848,301.982156162,1.00715396856,23.3
206000,206.000000001,-576918.392044,299.65926641,1.00151662906,23.3
207000,207.000000001,-575136.216187,299.395374748,1.00232360342,23.3
208000,208.000000001,-575320.957606,299.781254747,1.00268950338,23.3
209000,209.000000001,-574294.202616,301.698535593,1.00521785412,23.3
210000,210.000000001,-575808.008156,301.711137116,1.00479064981,23.3
211000,211.000000001,-576324.992851,298.344862844,1.00618826152,23.3
212000,212.000000001,-574830.446052,297.727322728,1.00095245769,23.3
213000,213.000000001,-575858.185191,300.787036396,1.00510688376,23.3
214000,214.000000001,-575040.867726,301.245279343,0.999645341879,23.3
215000,215.000000001,-575613.042792,302.639224591,1.00289432613,23.3
216000,216.000000001,-576837.921692,300.474301639,1.00257591971,23.3
217000,217.000000001,-576095.189353,298.913363813,1.00498452921,23.3
218000,218.000000001,-576498.244263,301.598078243,1.00322372979,23.3
219000,219.000000001,-576957.217603,300.605118735,1.00669865403,23.3
220000,220.000000001,-577085.322273,300.238135217,1.00495512826,23.3
221000,221.000000001,-577339.342831,301.905795866,1.007406985,23.3
222000,222.000000001,-575713.402222,300.234421526,1.00162445714,23.3
