#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
51000,51.0,-577619.544378,300.71929048,1.00953274381,0
52000,52.0,-576441.553386,299.94213147,1.00590592968,19.5
53000,53.0,-575143.711398,299.443881226,1.00010569256,19
54000,54.0,-575323.900937,300.605242745,1.00640542347,18.9
55000,55.0,-577195.033945,301.237522968,1.0080512276,18.8
56000,56.0,-575583.818775,299.045639261,1.00398899764,18.8
57000,57.0,-576346.832495,299.292064807,1.00418260382,18.8
58000,58.0,-575728.220666,299.761099563,1.00679616729,18.7
59000,59.0,-577381.753975,300.943975591,1.00683797983,18.7
60000,60.0,-576282.391007,299.010927683,1.00335720949,18.7
61000,60.9999999999,-576288.287919,298.892484721,1.0028934647,18.7
62000,61.9999999999,-575733.433832,297.175619484,1.00675822069,18.7
63000,62.9999999999,-576589.378295,299.395033064,1.00454835571,18.6
64000,63.9999999999,-576638.200378,300.907896035,1.00419005747,18.6
65000,64.9999999999,-577009.230268,299.803636261,1.0070206642,18.6
66000,66.0,-576815.408036,298.155402599,1.00668673852,18.6
67000,67.0,-576171.057584,299.993744589,1.00473437969,18.6
68000,68.0,-575382.173193,299.365116837,1.00558944262,18.6
69000,69.0,-576546.137776,299.372060765,1.00257534901,18.6
70000,70.0,-576977.388823,301.949626921,1.00387648882,18.6
71000,71.0,-575290.37469,298.933421023,1.00396251638,18.6
72000,72.0,-575180.194872,299.049844077,1.00212149871,18.6
73000,73.0,-575324.398283,302.249871604,1.00025910068,18.6
74000,74.0,-575752.239865,300.935946391,1.00172008178,18.6
75000,75.0,-574994.650152,298.507317914,0.998081205676,18.6
76000,76.0,-575774.537353,301.49473608,1.00052555328,18.6
77000,77.0,-575977.767634,301.588440882,1.00330315712,18.6
78000,78.0,-575821.325095,297.758184027,1.00587342444,18.6
79000,79.0,-575879.696628,300.503593737,1.00304529925,18.6
80000,80.0,-573642.878873,300.181144301,1.00267154699,18.6
81000,81.0,-575340.530228,301.170824516,1.00538123222,18.5
82000,82.0,-577235.770763,304.069470263,1.00616670186,18.5
83000,83.0,-575478.670488,299.924751912,0.997653105382,18.5
84000,84.0,-574708.708384,298.880268206,1.00043171348,18.6
85000,85.0,-576828.667484,300.433012177,1.00420048926,18.6
86000,86.0,-575653.997129,300.272987853,1.0035613051,18.5
87000,87.0000000001,-576841.123372,300.261442024,1.00421114138,18.5
88000,88.0000000001,-575724.217577,298.841416979,1.00516092843,18.5
89000,89.0000000001,-576416.59464,301.010080787,1.0049774226,18.5
90000,90.0000000001,-576314.817949,299.164248365,1.00420440081,18.5
91000,91.0000000001,-576487.760741,299.377905371,1.0046616871,18.5
92000,92.0000000001,-578185.317543,298.387662935,1.0064571259,18.5
93000,93.0000000001,-575649.380544,300.516535679,1.00802894476,18.5
94000,94.0000000001,-576239.387739,299.208122275,1.00624692277,18.5
95000,95.0000000001,-576100.830439,303.807267176,1.00612412321,18.5
96000,96.0000000001,-577132.827404,301.434435859,1.00645667889,18.5
97000,97.0000000001,-576209.599475,300.613327806,1.00616392408,18.5
98000,98.0000000001,-576636.85658,299.153297585,1.00561049616,18.5
99000,99.0000000001,-576320.210582,297.698025528,1.00606056081,18.5
100000,100.0,-576140.007955,297.649359189,1.00694778481,18.5
101000,101.0,-576515.74672,300.085515786,1.0089805122,18.5
102000,102.0,-575543.594224,298.362841953,1.00334064928,18.5
103000,103.0,-573775.589172,302.53421474,1.00104067882,18.5
104000,104.0,-575601.577163,299.157902161,1.00240578671,18.5
105000,105.0,-577052.997562,297.471187407,1.00394147129,18.5
106000,106.0,-577117.852931,300.615711559,1.00529931528,18.5
107000,107.0,-576166.989169,300.190255732,1.00297680222,18.5
108000,108.0,-576432.371622,302.275407685,1.00419819228,18.5
109000,109.0,-576534.941668,304.100872122,1.00761303231,18.5
110000,110.0,-576284.635579,300.989011279,1.00732994163,18.5
111000,111.0,-576359.399004,298.064334358,1.01067053623,18.5
112000,112.0,-576332.201489,300.369328355,1.00661298879,18.5
113000,113.0,-575564.923659,299.260462775,1.00186347457,18.5
114000,114.0,-576424.002565,297.946623055,1.00071419025,18.5
115000,115.0,-575627.125577,299.363087568,1.00596171549,18.5
116000,116.0,-575107.279063,300.057878724,1.0041278801,18.5
117000,117.0,-575547.764609,299.029410844,1.00384681985,18.5
118000,118.0,-575779.94694,299.808420545,1.0028473732,18.5
119000,119.0,-575397.717015,298.408151099,1.0029147877,18.5
120000,120.0,-576977.187083,297.872354238,1.00407401122,18.5
121000,121.0,-576352.846472,298.695560582,1.00292700087,18.5
122000,122.0,-576072.471485,301.352314478,1.00504466573,18.5
123000,123.0,-576871.470243,301.781689752,1.00732311899,18.5
124000,124.0,-576378.392032,299.003848794,1.00252766486,18.5
125000,125.0,-576601.492878,298.599192898,1.00168320335,18.5
126000,126.0,-576508.452207,299.671731644,1.00064850722,18.5
127000,127.0,-575681.743826,302.651964078,1.00416850354,18.5
128000,128.0,-576108.321334,301.688187108,1.00535150646,18.5
