16-11-16 08:42:34 pyemma.coordinates.clustering.kmeans.MiniBatchKmeansClustering[2] INFO     Cluster centers converged after 708 steps.
17-11-16 08:43:25 pyemma.msm.estimators.bayesian_msm.BayesianMSM[3] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 08:52:52 pyemma.msm.estimators.bayesian_msm.BayesianMSM[4] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:02:16 pyemma.msm.estimators.bayesian_msm.BayesianMSM[5] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:11:39 pyemma.msm.estimators.bayesian_msm.BayesianMSM[6] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:21:07 pyemma.msm.estimators.bayesian_msm.BayesianMSM[7] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:30:27 pyemma.msm.estimators.bayesian_msm.BayesianMSM[8] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:39:39 pyemma.msm.estimators.bayesian_msm.BayesianMSM[9] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:48:51 pyemma.msm.estimators.bayesian_msm.BayesianMSM[10] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 09:57:59 pyemma.msm.estimators.bayesian_msm.BayesianMSM[11] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 10:07:07 pyemma.msm.estimators.bayesian_msm.BayesianMSM[12] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 10:16:18 pyemma.msm.estimators.bayesian_msm.BayesianMSM[13] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 10:25:23 pyemma.msm.estimators.bayesian_msm.BayesianMSM[14] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 10:34:28 pyemma.msm.estimators.bayesian_msm.BayesianMSM[15] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 10:43:31 pyemma.msm.estimators.bayesian_msm.BayesianMSM[16] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 10:52:39 pyemma.msm.estimators.bayesian_msm.BayesianMSM[17] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:01:44 pyemma.msm.estimators.bayesian_msm.BayesianMSM[18] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:10:43 pyemma.msm.estimators.bayesian_msm.BayesianMSM[19] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:19:46 pyemma.msm.estimators.bayesian_msm.BayesianMSM[20] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:28:51 pyemma.msm.estimators.bayesian_msm.BayesianMSM[21] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:37:55 pyemma.msm.estimators.bayesian_msm.BayesianMSM[22] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:47:06 pyemma.msm.estimators.bayesian_msm.BayesianMSM[23] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 11:56:14 pyemma.msm.estimators.bayesian_msm.BayesianMSM[24] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 12:05:22 pyemma.msm.estimators.bayesian_msm.BayesianMSM[25] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 12:14:28 pyemma.msm.estimators.bayesian_msm.BayesianMSM[26] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
17-11-16 12:23:34 pyemma.msm.estimators.bayesian_msm.BayesianMSM[27] WARNING  Ignored error during estimation: Stationary distribution contains entries smaller than 1e-15 during iteration
