Starting Time: 01-16-2015 11:38:23
Duplication criterion: displacement cutoff:     1.3
Kept 1 SGS nophenyl
Removed 2 SGS nophenyl
Removed 3 SGS nophenyl
Kept 4 SGS nophenyl
Removed 5 SGS nophenyl
Removed 6 SGS nophenyl
Removed 7 SGS nophenyl
Removed 8 SGS nophenyl
Removed 9 SGS nophenyl
Removed 10 SGS nophenyl
Removed 11 SGS nophenyl
Removed 12 SGS nophenyl
Removed 13 SGS nophenyl
Kept 14 SGS nophenyl
Kept 15 SGS nophenyl
Kept 16 SGS nophenyl
Kept 17 SGS nophenyl
Removed 18 SGS nophenyl
Removed 19 SGS nophenyl
Removed 20 SGS nophenyl
Removed 21 SGS nophenyl
Removed 22 SGS nophenyl
Removed 23 SGS nophenyl
Removed 24 SGS nophenyl
Removed 25 SGS nophenyl
Removed 26 SGS nophenyl
Removed 27 SGS nophenyl
Removed 28 SGS nophenyl
Removed 29 SGS nophenyl
Removed 30 SGS nophenyl
Kept 31 SGS nophenyl
Removed 32 SGS nophenyl
Kept 33 SGS nophenyl
Removed 34 SGS nophenyl
Removed 35 SGS nophenyl
Removed 36 SGS nophenyl
Removed 37 SGS nophenyl
Kept 38 SGS nophenyl
Removed 39 SGS nophenyl
Removed 40 SGS nophenyl
Kept 41 SGS nophenyl
Kept 42 SGS nophenyl
Removed 43 SGS nophenyl
Removed 44 SGS nophenyl
Kept 45 SGS nophenyl
Removed 46 SGS nophenyl
Removed 47 SGS nophenyl
Removed 48 SGS nophenyl
Kept 49 SGS nophenyl
Removed 50 SGS nophenyl
Removed 51 SGS nophenyl
Removed 52 SGS nophenyl
Kept 53 SGS nophenyl
Kept 54 SGS nophenyl
Removed 55 SGS nophenyl
Kept 56 SGS nophenyl
Removed 57 SGS nophenyl
Removed 58 SGS nophenyl
Kept 59 SGS nophenyl
Removed 60 SGS nophenyl
Kept 61 SGS nophenyl
Removed 62 SGS nophenyl
Removed 63 SGS nophenyl
Kept 64 SGS nophenyl
Kept 65 SGS nophenyl
Removed 66 SGS nophenyl
Kept 67 SGS nophenyl
Kept 68 SGS nophenyl
Remaining poses: 22
Stage <SGS nophenyl   (    0) UniquePoses0> takes 0 seconds
Duplication criterion: displacement cutoff:     1.3
Kept 1 SGS nophenyl
Removed 2 SGS nophenyl
Kept 3 SGS nophenyl
Kept 4 SGS nophenyl
Kept 5 SGS nophenyl
Kept 6 SGS nophenyl
Removed 7 SGS nophenyl
Removed 8 SGS nophenyl
Removed 9 SGS nophenyl
Removed 10 SGS nophenyl
Removed 11 SGS nophenyl
Removed 12 SGS nophenyl
Removed 13 SGS nophenyl
Kept 14 SGS nophenyl
Removed 15 SGS nophenyl
Kept 16 SGS nophenyl
Removed 17 SGS nophenyl
Kept 18 SGS nophenyl
Kept 19 SGS nophenyl
Removed 20 SGS nophenyl
Removed 21 SGS nophenyl
Removed 22 SGS nophenyl
Removed 23 SGS nophenyl
Kept 24 SGS nophenyl
Removed 25 SGS nophenyl
Removed 26 SGS nophenyl
Removed 27 SGS nophenyl
Removed 28 SGS nophenyl
Removed 29 SGS nophenyl
Kept 30 SGS nophenyl
Kept 31 SGS nophenyl
Kept 32 SGS nophenyl
Removed 33 SGS nophenyl
Removed 34 SGS nophenyl
Kept 35 SGS nophenyl
Kept 36 SGS nophenyl
Kept 37 SGS nophenyl
Removed 38 SGS nophenyl
Removed 39 SGS nophenyl
Removed 40 SGS nophenyl
Removed 41 SGS nophenyl
Removed 42 SGS nophenyl
Removed 43 SGS nophenyl
Kept 44 SGS nophenyl
Removed 45 SGS nophenyl
Kept 46 SGS nophenyl
Kept 47 SGS nophenyl
Removed 48 SGS nophenyl
Kept 49 SGS nophenyl
Removed 50 SGS nophenyl
Removed 51 SGS nophenyl
Kept 52 SGS nophenyl
Kept 53 SGS nophenyl
Removed 54 SGS nophenyl
Kept 55 SGS nophenyl
Kept 56 SGS nophenyl
Removed 57 SGS nophenyl
Removed 58 SGS nophenyl
Removed 59 SGS nophenyl
Removed 60 SGS nophenyl
Kept 61 SGS nophenyl
Kept 62 SGS nophenyl
Kept 63 SGS nophenyl
Removed 64 SGS nophenyl
Removed 65 SGS nophenyl
Kept 66 SGS nophenyl
Removed 67 SGS nophenyl
Removed 68 SGS nophenyl
Kept 69 SGS nophenyl
Removed 70 SGS nophenyl
Remaining poses: 29
Stage <SGS nophenyl   (    1) UniquePoses0> takes 0 seconds

Ending Time: 01-16-2015 11:38:24
