title,r_cdock_cdock_affinity,r_psp_Prime_Energy,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa
SGS nophenyl,-4.613883471005,-7237.70221406076,-8.33506011963,0.5325,1.507340312,-34.61302948,-28.2540721893,-19.9190120697,-4.66013651189,-0.217244026942,-1.04644450927,-0.579694319097
SGS nophenyl,-4.22127030299,-7200.01938365357,-4.95086479187,0.6527,3.07776117325,-31.3850239842,-26.0437202454,-21.0928554535,-4.36861715552,-0.195574587132,-0.942064809506,-0.52187155024
