title,r_cdock_cdock_affinity,r_psp_Prime_Energy,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa
SGS,-5.31256704199,-6597.94246697144,2.1113307476,0.5431,6.23827123642,-47.194006734,-35.8529026508,-37.9642333984,-4.89589321222,-0.167415123547,-1.02223920321,-0.495966644761
SGS,-5.06719168999,-6662.93173296423,-6.92313337326,0.548,8.03533935547,-60.1351061224,-44.4778780937,-37.5547447205,-3.27076574726,-0.10472175951,-0.639432601621,-0.310237800488
