title,r_cdock_cdock_affinity,r_psp_Prime_Energy,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa
SGS phenyl,-5.298551450355,-7208.0920854999,-7.83975076675,0.548,5.47568416595,-26.812857561,-34.6006302834,-26.7608795166,-5.20774292246,-0.179220881633,-1.09432533548,-0.530941156638
SGS phenyl,-5.031233930455,-7147.75279500894,-2.25820684433,0.5431,0.888476788998,-31.2341911286,-28.27820158,-26.0199947357,-4.43069585177,-0.149522917376,-0.912989129546,-0.442961054381
