title,r_cdock_cdock_affinity,r_i_sample_glide_gscore,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards
SGS phenyl,-4.97185352597,-4.86479529611751,-6.97586107254,0.5431,1.95088529587,-53.9551216281,-29.536005497,0.42994128759,-0.00816350389781,-22.5601444244,-5.07891175582,-0.608,-0.174454298301,-1.06522050764,-0.516820172272,-1.80792302105,0.0,-0.910380136364
SGS phenyl,-4.503921975935,-4.15802326808697,-6.45106887817,0.548,1.94193291664,-54.7392861763,-31.4611492157,0.427837595018,-0.00211887052231,-25.0100803375,-4.84982068378,-0.252461330505,-0.165454641684,-1.01026847216,-0.490158724956,-1.90140591099,0.0,-0.903507818182
