title,r_cdock_cdock_affinity,r_i_sample_glide_gscore,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards
SGS phenyl,-5.826067640345,-5.94550195286133,-5.4423251152,0.548,2.43706774712,-64.1321257275,-36.8174929619,0.427837595018,0.0,-31.3751678467,-5.70663332783,-0.300879188015,-0.198408974147,-1.21148811018,-0.58778580521,-2.3032682549,0.0,-1.14521632032
SGS phenyl,-5.15960207029,-5.32051556012302,-3.22641730309,0.5431,1.76028645039,-49.8872824404,-25.7739827633,0.42994128759,0.0,-22.5475654602,-4.99868858046,-0.314902803755,-0.171368791556,-1.04638035814,-0.507679370681,-2.36629480479,0.0,-1.13609139103
